c1,ecosystem_tenure,review_tenure,reviews,added_lines,removed_lines,no_files,sources,blocking_tenure,blocking_activity
6677,518,1,12,84,84,12,0,0,1
6678,1,1,40,80,270,40,1,0,1
6679,14,14,95,1330,2185,95,1,0,1
6680,1,1,72,1296,2592,72,1,0,1
6681,0,0,600,4120,4120,600,1,0,1
6682,1,1,748,4785,4785,748,1,0,1
6683,2,0,18,42,96,18,0,0,1
6684,2,0,12,264,114,12,0,0,1
6685,2,0,24,138,156,24,0,0,1
6686,2,0,12,198,126,12,0,0,1
6687,2,0,6,540,492,6,0,0,1
6688,6,6,12,552,12,12,1,6,1
6689,2,2,10,50,0,10,0,0,1
6690,0,0,340,870,870,340,1,0,1
6691,0,0,2497,12661,12661,2497,1,0,1
6692,0,0,10,100,90,10,1,0,1
6693,0,0,10,290,290,10,1,0,1
6694,0,0,12,438,420,12,0,0,1
6695,1,1,192,4752,448,192,1,0,1
6696,14,14,14,84,70,14,0,6,1
6697,10,10,3304,22715,11269,3304,1,0,1
6698,1,1,180,1632,3636,180,1,0,1
6699,0,0,10,20,100,10,1,0,1
6700,26,26,117,3588,0,117,0,0,1
6701,1,0,10,150,80,10,1,0,1
6702,0,0,10,0,20,10,1,0,1
6703,3,3,208,4576,3640,208,1,0,1
6705,0,0,24,174,432,24,0,0,1
6706,0,0,6,36,6,6,0,0,1
6707,0,0,6,78,30,6,0,0,1
6708,0,0,12,54,42,12,0,0,1
6709,0,0,6,96,120,6,0,0,1
6710,0,0,12,24,72,12,0,0,1
6711,0,0,6,192,126,6,0,0,1
6712,0,0,30,258,108,30,0,0,1
6713,0,0,48,270,150,48,0,0,1
6714,1,0,6,138,12,6,0,0,1
6715,1,0,6,762,60,6,0,0,1
6716,1,0,12,114,36,12,0,0,1
6717,1,0,12,156,60,12,0,0,1
6719,0,0,30,920,0,30,1,0,1
6720,9,9,30,7464,0,30,0,0,1
6721,0,0,14,70,0,14,0,0,1
6722,0,0,10,40,40,10,1,0,1
6723,1,1,12,144,144,12,0,0,1
6724,2,0,40,620,0,40,1,0,1
6725,2,0,40,620,10,40,1,0,1
6726,4,4,105,915,360,105,0,0,1
6727,14,14,1800,246240,103815,1800,1,0,1
6728,0,0,10,90,10,10,1,0,1
6729,1,1,100,1950,3130,100,0,0,1
6730,8,8,1674,1701,1701,1674,1,7,1
6731,0,0,30,270,0,30,1,0,1
6732,0,0,12,60,0,12,1,0,1
6733,0,0,10,10,20,10,1,0,1
6734,0,0,6,30,12,6,0,0,1
6735,0,0,10,40,10,10,1,0,1
6736,30,8,484,4224,440,484,1,0,1
6737,24,24,208,3744,0,208,1,6,2
6738,23,8,72,1056,24,72,1,0,1
6739,3,3,27,27,27,27,1,0,1
6740,7,7,52,52,52,52,0,0,1
6742,5,5,30,50,220,30,1,0,1
6743,0,0,10,40,40,10,1,0,1
6744,1,1,10,10,50,10,1,0,1
6745,2,2,208,1794,208,208,1,0,1
6746,2,2,10,460,10,10,1,2,1
6747,1,1,30,70,10,30,1,0,1
6748,9,1,10,20,0,10,1,0,1
6749,18,1,10,20,20,10,0,0,1
6750,3,3,10,10,10,10,1,0,1
6751,7,7,20,230,60,20,1,0,1
6752,0,0,40,320,1090,40,0,0,1
6753,0,0,10,10,10,10,1,0,1
6754,1,1,30,410,50,30,1,0,1
6755,22,22,189,49950,0,189,0,0,1
6756,26,26,96,3168,0,96,0,0,1
6757,1,1,20,610,0,20,0,0,1
6758,1,1,72,2792,408,72,1,0,1
6759,1,1,20,350,470,20,1,0,1
6760,16,16,36,72,72,36,0,0,1
6761,0,0,10,90,50,10,1,0,1
6762,0,0,30,350,0,30,1,0,1
6763,0,0,24,64,352,24,1,0,1
6764,5,5,1387,39330,7657,1387,1,0,1
6765,1,1,120,3260,3540,120,1,0,2
6766,0,0,10,370,320,10,0,0,1
6767,1,1,30,780,450,30,0,1,2
6768,0,0,12,102,12,12,0,0,1
6769,13,13,56,322,0,56,1,0,1
6770,0,0,24,270,108,24,0,0,1
6771,1,1,10,260,150,10,0,1,1
6772,3,2,16,80,24,16,1,0,1
6773,1,1,10,310,12610,10,0,0,1
6774,15,15,264,924,484,264,1,0,1
6775,1,1,6,24,18,6,0,0,1
6776,1,1,18,18,18,18,0,0,1
6777,1,1,18,90,66,18,0,0,1
6778,2,1,18,594,42,18,0,0,1
6779,2,1,12,108,72,12,0,0,1
6780,2,1,30,42,24,30,0,0,1
6781,4,1,12,204,156,12,0,0,1
6782,4,1,6,84,30,6,0,0,1
6783,4,1,24,276,60,24,0,0,1
6784,0,0,12,12,12,12,0,0,1
6785,11,11,1728,12864,1792,1728,0,3,2
6786,0,0,12,36,36,12,0,0,1
6787,0,0,12,12,12,12,1,0,1
6788,0,0,10,10,10,10,1,0,1
6789,2,2,39,481,585,39,1,0,1
6790,12,8,60,60,0,60,0,0,1
6791,0,0,24,288,516,24,1,0,1
6792,0,0,14,14,14,14,1,0,1
6793,2,2,10,30,0,10,0,0,1
6795,5,5,85,323,153,85,0,0,1
6796,2,2,10,80,70,10,1,0,1
6797,0,0,10,80,80,10,1,0,1
6798,0,0,10,240,200,10,1,0,1
6799,2,2,24,496,272,24,1,0,1
6800,1,1,28,28,28,28,0,0,1
6801,1,1,40,64,64,40,0,0,1
6802,1,1,32,64,64,32,1,0,1
6803,7,7,64,3728,576,64,1,0,1
6804,6,6,660,14212,4092,660,1,1,1
6805,1,1,210,1310,1200,210,1,0,1
6806,1,1,60,150,270,60,1,0,1
6807,0,0,10,50,50,10,0,0,1
6808,1,1,20,80,0,20,1,0,1
6809,12,12,84,96,36,84,1,0,1
6810,0,0,10,10,10,10,1,0,1
6811,0,0,8,24,64,8,1,0,1
6813,0,0,10,100,100,10,1,0,1
6814,2,2,36,108,36,36,0,0,1
6815,2,2,10,0,10,10,1,0,1
6816,12,12,1944,6777,22815,1944,1,0,1
6817,0,0,135,2214,54,135,0,0,1
6818,26,26,160,432,1200,160,1,0,1
6819,15,15,682,30822,2002,682,1,2,1
6826,0,0,24,120,368,24,1,0,1
6827,1,1,20,100,10,20,0,0,1
6828,1,1,24,120,36,24,1,0,1
6829,3,3,20,320,140,20,1,0,1
6830,3,3,12,36,36,12,0,0,1
6831,3,3,10,30,30,10,0,0,1
6832,3,3,24,72,48,24,1,0,1
6833,0,0,12,144,72,12,1,0,1
6834,1,1,10,10,10,10,0,0,1
6835,1,1,12,24,6,12,0,0,1
6836,1,1,6,6,6,6,0,0,1
6837,1,1,6,12,12,6,0,0,1
6838,0,0,10,20,30,10,1,0,1
6839,7,7,24,24,24,24,1,0,1
6840,7,7,48,96,1152,48,1,0,1
6841,0,0,10,30,60,10,1,0,1
6843,175,175,525,14070,21840,525,1,1,1
6844,27,27,738,53334,28566,738,1,21,2
6845,2,2,24,24,768,24,1,0,1
6846,2,2,81,27,675,81,0,1,1
6847,0,0,20,60,110,20,1,0,1
6848,1,1,12,108,108,12,1,0,1
6851,12,12,20,20,40,20,1,0,1
6852,45,28,6,30,18,6,1,0,1
6853,1,0,10,50,70,10,0,0,1
6854,2,2,14,1358,1246,14,1,0,1
6855,0,0,48,2688,3600,48,1,0,1
6858,2,1,10,10,0,10,1,0,1
6859,2,1,12,12,0,12,1,0,1
6860,0,0,1320,2892,5448,1320,1,0,1
6861,5,5,36,288,96,36,1,0,1
6862,0,0,21,21,21,21,1,0,1
6863,1,0,480,1212,1464,480,1,0,1
6864,0,0,10,30,30,10,0,0,1
6866,0,0,10,0,10,10,1,0,1
6867,1,1,10,170,140,10,0,0,1
6868,1,0,480,816,1320,480,1,0,1
6869,1,1,150,1550,2580,150,0,0,1
6870,3,3,40,1300,2160,40,0,0,1
6871,3,3,10,200,0,10,0,0,1
6872,0,0,20,70,90,20,1,0,1
6873,1,1,10,0,0,10,0,0,1
6874,1,1,340,600,780,340,1,0,1
6875,1,1,80,200,340,80,1,0,1
6876,1,1,50,100,100,50,1,0,1
6877,0,0,10,40,40,10,1,0,1
6878,0,0,10,40,40,10,1,0,1
6879,0,0,10,70,20,10,0,0,1
6880,2,2,368,9040,1056,368,1,0,1
6881,10,10,24,288,0,24,0,0,1
6882,1,1,12,60,84,12,1,0,1
6883,0,0,90,170,470,90,1,0,1
6884,0,0,530,1110,1590,530,1,0,1
6885,0,0,80,260,290,80,1,0,1
6886,1,1,784,3560,7080,784,1,0,1
6887,49,10,403,4810,4056,403,0,8,2
6888,0,0,110,320,450,110,1,0,1
6889,1,1,1776,5184,6648,1776,1,0,1
6890,9,9,48,96,0,48,1,0,1
6891,2,2,20,110,0,20,0,0,1
6892,23,22,12,60,12,12,1,0,1
6893,2,1,24,1000,288,24,1,0,1
6894,1,1,10,20,20,10,1,0,1
6895,1,1,96,2016,1920,96,1,0,1
6896,1,1,20,0,240,20,1,0,1
6897,0,0,10,670,1110,10,1,0,1
6898,1,1,632,3784,4216,632,1,0,1
6899,0,0,20,170,3100,20,0,0,1
6900,0,0,20,50,20,20,1,0,1
6901,0,0,24,24,24,24,1,0,1
6902,3,3,54,486,0,54,0,0,1
6903,0,0,500,1450,2130,500,1,0,1
6904,0,0,150,310,750,150,1,0,1
6905,0,0,228,504,900,228,1,0,1
6906,1,0,54,504,252,54,1,0,1
6907,1,1,150,780,470,150,1,0,1
6908,0,0,20,30,40,20,1,0,1
6909,0,0,4213,21714,39842,4213,1,0,1
6910,1,1,10,330,350,10,1,0,1
6911,12,10,2088,12888,21492,2088,1,0,1
6912,0,0,10,20,20,10,1,0,1
6913,9,9,68440,68150,68150,68440,1,0,1
6914,0,0,10,290,190,10,1,0,1
6915,20,15,224,448,448,224,0,0,2
6916,20,14,48,960,276,48,1,0,1
6917,0,0,8,8,40,8,0,0,1
6918,0,0,10,290,190,10,1,0,1
6919,0,0,30,60,30,30,1,0,1
6920,0,0,10,10,10,10,1,0,1
6921,0,0,30,170,220,30,1,0,1
6922,0,0,40,180,160,40,1,0,1
6923,0,0,10,0,80,10,1,0,1
6924,0,0,10,110,130,10,1,0,1
6925,0,0,20,0,410,20,1,0,1
6926,20,15,20,420,140,20,0,0,1
6927,20,15,20,180,180,20,0,0,1
6928,20,15,10,40,140,10,1,0,1
