change_id,ecosystem_tenure,review_tenure,reviews,added_lines,removed_lines,no_files,sources,blocking_tenure,blocking_activity
678,0,0,8,8,8,8,0,0,1
679,1,1,24,48,48,24,0,0,2
680,1,1,44,44,44,44,0,0,1
681,0,0,42,266,14,42,1,0,1
682,0,0,10,40,0,10,0,0,1
683,0,0,24,276,0,24,0,0,1
684,0,0,18,1803,540,18,0,0,1
685,11,11,56,2688,0,56,1,0,1
686,0,0,187,638,638,187,0,0,1
687,0,0,32,32,32,32,0,0,1
688,0,0,112,5424,8,112,1,0,1
689,13,13,9381,453120,48144,9381,1,0,3
690,3,3,16,336,16,16,1,0,1
691,0,0,10,10,10,10,0,0,1
692,0,0,15,30,20,15,1,0,1
693,0,0,20,480,80,20,1,0,2
694,4,4,20,810,70,20,1,0,1
695,0,0,10,10,10,10,0,0,1
696,1,1,42,42,42,42,1,0,2
697,42,40,1188,170100,53784,1188,1,0,1
698,8,7,30,710,660,30,1,0,1
699,0,0,5,5,5,5,1,0,1
700,8,8,666,2358,1890,666,1,0,2
701,0,0,32,944,544,32,1,0,1
702,1,0,48,848,304,48,1,0,1
703,0,0,65,1195,1195,65,0,0,1
704,1,0,15,15,20,15,0,0,1
705,0,0,16,16,16,16,1,0,1
706,6,6,6264,75672,75672,6264,1,0,1
707,0,0,5,5,5,5,1,0,1
708,6,6,160,272,256,160,0,0,1
709,3,3,690,43470,368,690,0,2,3
710,0,0,14,77,455,14,0,0,2
711,1,1,10,810,0,10,1,0,1
712,31,31,6720,1620,576420,6720,0,17,2
713,11,11,7882,659792,496216,7882,1,0,1
714,0,0,12,696,198,12,1,0,1
715,2,2,24,60,156,24,1,0,1
716,2,0,12,54,42,12,1,0,1
717,2,0,6,30,0,6,1,0,1
718,2,0,24,60,156,24,1,0,1
719,6,6,64,96,80,64,0,0,1
720,6,6,96,256,144,96,0,0,1
721,1,1,22,0,484,22,1,0,2
722,0,0,5,5240,5230,5,1,0,1
723,0,0,3,21,6,3,1,0,1
724,0,0,16,132,132,16,0,0,1
725,2,2,132,242,374,132,0,0,2
726,18,17,1156,14518,14824,1156,1,16,5
727,1,1,160,32240,32120,160,0,0,1
728,14,14,44,308,44,44,1,0,1
729,0,0,144,1824,108,144,1,0,1
730,0,0,5,5,5,5,0,0,1
731,0,0,26,65,65,26,1,0,1
732,91,91,351,351,1701,351,1,71,4
733,119,119,6656,368192,49984,6656,1,0,1
734,0,0,14,14672,14644,14,1,0,1
735,0,0,4,12,12,4,0,0,1
736,4,3,288,10200,2088,288,1,0,1
737,0,0,168,13902,532,168,1,0,1
738,0,0,24,636,324,24,1,0,1
739,14,14,1134,51177,24654,1134,1,0,1
740,0,0,10,0,100,10,0,0,1
741,0,0,10,60,0,10,0,0,1
742,0,0,504,19128,15564,504,1,0,1
743,0,0,10,50,20,10,1,0,1
744,17,17,816,35564,2533,816,1,0,3
745,29,11,16,80,0,16,1,0,1
746,0,0,3,3,0,3,0,0,1
747,1,1,91,18343,39,91,1,0,1
748,15,1,14,0,42,14,1,0,1
749,2,1,560,22778,4998,560,1,0,2
750,0,0,10,10,10,10,1,0,1
751,0,0,405,3861,3861,405,0,0,1
752,0,0,10,70,40,10,1,0,1
753,0,0,12,84,48,12,1,0,1
754,7,7,32,752,128,32,0,0,1
755,8,8,60,600,30,60,0,0,2
756,10,10,208,338,338,208,1,0,1
757,4,4,44,1177,176,44,1,0,1
758,7,7,140,882,532,140,1,0,1
759,16,2,4092,154352,83204,4092,1,0,1
760,0,0,10,140,5,10,1,0,1
761,2,2,20,40,40,20,0,2,2
763,3,2,6,12,12,6,0,0,1
764,1,1,15,15,20,15,0,0,1
765,0,0,32,2072,192,32,1,0,1
766,8,8,728,3920,7812,728,1,8,3
767,13,13,7038,7314,7314,7038,0,0,3
768,0,0,5,25,5,5,1,0,1
769,6,2,7462,177325,62730,7462,1,1,2
770,13,13,100,100,100,100,0,0,1
771,0,0,20,65,65,20,1,0,1
772,0,0,200,392,392,200,1,0,1
773,10,10,30,30,0,30,0,0,1
774,1,1,80,224,224,80,0,1,2
775,12,12,60,360,360,60,0,1,2
776,3,2,136,5328,792,136,1,0,1
777,33,33,56,280,1008,56,1,0,1
778,1,1,12,36,12,12,1,1,1
779,65,65,50,4970,0,50,1,0,1
780,42,20,132,2068,132,132,1,0,1
781,2,2,42,196,28,42,1,0,1
782,0,0,6,12,12,6,0,0,1
783,0,0,5,130,5,5,1,0,1
784,1,1,315,1098,1125,315,1,0,1
786,1,1,180,1290,0,180,0,0,1
788,57,1,3094,3198,1690,3094,1,0,1
789,0,0,10,130,5,10,1,0,1
790,0,0,12,12,0,12,0,0,1
791,9,9,286,5018,78,286,1,0,1
792,0,0,288,837,396,288,0,0,1
793,0,0,3,30,3,3,0,0,1
794,1,1,4,12,12,4,0,0,1
795,0,0,24,936,33,24,1,0,1
796,7,7,5,5,0,5,0,0,1
797,7,7,10,250,95,10,0,0,1
798,0,0,3,75,37335,3,0,0,1
799,6,0,2025,1285047,1242990,2025,0,0,1
800,0,0,15,483,9,15,0,0,1
801,120,120,5,5,5,5,0,0,1
802,41,41,1058,138,8326,1058,1,12,3
803,0,0,42,287,49,42,1,0,1
804,0,0,10,165,10,10,1,0,1
805,0,0,16,16,16,16,0,0,1
806,0,0,32,672,488,32,0,0,1
807,34,0,16,32,32,16,1,0,1
808,4,4,27,297,0,27,1,0,1
809,8,8,195,6345,4395,195,1,0,1
810,0,0,3,0,9,3,1,0,1
811,54,33,1008,6792,3456,1008,1,0,1
812,76,76,3569,43258,1720,3569,1,0,1
813,29,0,28,119,35,28,1,0,1
814,0,0,616,18664,0,616,1,0,1
815,0,0,5,5,5,5,1,0,1
816,0,0,64,616,72,64,1,0,1
817,0,0,3,129,93,3,0,0,1
818,0,0,6,132,12,6,0,0,1
819,0,0,18,576,636,18,0,0,1
820,0,0,9,24,9,9,0,0,1
821,0,0,6,60,36,6,0,0,1
822,6,5,204,5491,2907,204,1,0,1
823,6,6,120,1284,2520,120,1,4,1
824,0,0,7,7,7,7,0,0,1
825,41,41,12285,240955,40495,12285,1,1,2
826,0,0,10,15,15,10,0,0,1
827,0,0,6,6,6,6,0,0,1
828,4,4,42,168,1008,42,0,1,2
829,0,0,12,12,12,12,0,0,1
830,0,0,85,210,175,85,0,0,1
831,0,0,6,57,75,6,0,0,1
832,0,0,6,60,36,6,0,0,1
833,0,0,6,333,309,6,0,0,1
834,10,10,14,14,14,14,0,6,1
835,0,0,8,80,16,8,1,0,1
836,0,0,24,38904,14832,24,0,0,1
837,0,0,5,10,0,5,0,0,1
838,0,0,126,3003,1239,126,0,0,1
839,0,0,5,0,5,5,0,0,1
840,2,0,20,245,570,20,0,0,1
841,2,0,5,30,0,5,0,0,1
842,4,4,12,228,84,12,0,0,1
843,0,0,54,1377,135,54,1,0,2
844,1,1,207,24903,15336,207,0,0,3
846,1,1,16,304,0,16,1,0,1
847,1,1,5,15,10,5,1,0,1
848,0,0,3,9,9,3,0,0,1
849,21,21,840,24504,12144,840,1,0,1
850,17,17,136,4726,714,136,1,6,1
851,16,6,928,14210,1450,928,0,0,1
852,19,19,368,10327,2116,368,1,0,1
853,0,0,140,1500,440,140,1,0,1
854,0,0,5,20,20,5,0,0,1
855,27,4,620,11560,4880,620,1,0,2
856,270,231,3696,362544,8064,3696,1,0,1
857,0,0,3,0,12,3,0,0,1
858,0,0,28,14,14,28,0,0,1
859,8,8,459,19635,27438,459,0,0,1
860,0,0,3,3,3,3,0,0,1
861,2,2,5,60,50,5,0,0,1
862,0,0,3,21,9,3,0,0,1
863,6,6,12,0,144,12,1,0,1
864,0,0,8,104,44,8,0,0,1
865,3,3,119,2884,1764,119,0,0,1
866,5,5,78,234,2028,78,0,5,3
867,0,0,4,476,0,4,0,0,1
868,0,0,12,36,12,12,1,0,1
869,3,3,405,1725,1050,405,1,0,1
870,0,0,5,105,75,5,1,0,1
871,0,0,6,90,60,6,0,0,1
872,0,0,168,1302,210,168,0,0,1
873,3,3,60,1845,360,60,1,0,1
874,4,4,220,3410,198,220,1,0,1
875,6,6,320,4240,1040,320,1,0,2
876,3,3,230,26910,23870,230,1,0,1
877,5,5,20,0,80,20,0,0,1
878,13,13,260,30836,715,260,1,13,3
879,11,11,264,13101,44,264,1,0,2
880,3,3,95,105,15,95,1,0,1
881,7,7,390,7305,420,390,1,0,1
882,3,3,16,88,24,16,0,0,1
883,0,0,3,3,3,3,0,0,1
884,194,194,384,4944,768,384,1,0,1
886,0,0,3,0,3,3,1,0,1
887,0,0,12,44,8,12,1,0,1
888,0,0,10,55,15,10,1,0,1
889,9,9,640,0,68870,640,1,0,1
890,0,0,88,960,120,88,1,0,1
891,3,3,18,102,51,18,1,0,1
892,3,3,141,702,1170,141,1,0,1
893,3,3,21,70,175,21,1,0,2
894,220,55,68,1037,102,68,1,2,1
895,11,11,324,8100,1116,324,1,0,2
896,155,155,40,60,20,40,1,0,1
897,3,2,135,810,450,135,1,1,1
898,193,192,1976,62396,380,1976,1,1,1
899,0,0,10,20,15,10,0,0,1
900,1,0,45,980,420,45,1,0,1
901,345,345,30,810,80,30,1,0,1
902,0,0,54,396,702,54,0,0,1
903,0,0,18,18,18,18,0,0,1
904,0,0,9,3,3,9,0,0,1
905,0,0,16,208,176,16,0,0,1
906,1,1,4,68,72,4,0,0,1
907,0,0,30,3340,2650,30,1,0,1
908,9,3,3844,109771,169756,3844,1,0,1
909,0,0,20,60,140,20,0,0,1
910,0,0,3,3,3,3,0,0,1
911,0,0,10,110,0,10,0,0,1
912,29,28,2639,26564,12528,2639,1,0,1
913,0,0,99,165,825,99,1,0,1
914,1,1,576,25128,5112,576,1,1,3
915,2,2,180,1400,330,180,1,0,1
916,0,0,608,156176,14912,608,1,0,1
917,1,1,6,6,6,6,1,0,1
918,19,19,48,384,608,48,1,0,1
919,9,9,21,273,189,21,0,4,2
920,8,8,1512,83376,4632,1512,1,1,2
921,0,0,250,1825,1900,250,0,0,1
922,0,0,24,168,0,24,1,0,1
923,0,0,12,168,12,12,0,0,1
924,0,0,60,2380,3010,60,1,0,1
925,7,7,30,3940,950,30,1,0,1
926,1,0,10,20,5,10,1,0,1
927,0,0,40,1010,30,40,1,0,1
928,2,1,120,660,1100,120,0,0,1
929,1,1,28,56,14,28,1,0,1
930,0,0,80,840,3165,80,1,0,1
931,2,2,918,11754,828,918,1,0,1
932,3,3,207,1530,1044,207,1,2,2
933,0,0,110,1420,690,110,0,0,2
934,0,0,5,65,25,5,1,0,1
935,0,0,6,18,18,6,0,0,1
936,0,0,21,0,0,21,0,0,1
937,0,0,18,2163,1047,18,0,0,1
938,0,0,36,63,1488,36,0,0,1
939,0,0,3,3,3,3,0,0,1
940,8,7,1407,51590,804,1407,0,0,1
941,0,0,5,30,15,5,0,0,1
942,0,0,5,5,5,5,1,0,1
943,1,1,45,540,225,45,1,0,1
944,10,10,12960,427680,94590,12960,1,10,6
945,0,0,3,135,54,3,0,0,1
946,0,0,5,10,5,5,0,0,1
947,0,0,105,165,515,105,1,0,1
948,4,4,39,429,78,39,1,2,2
949,0,0,144,496,416,144,0,0,1
950,0,0,72,72,5224,72,0,0,1
951,1,1,16,112,0,16,0,0,1
952,14,14,612,23220,14040,612,0,0,1
953,1,1,45,8016,0,45,1,0,1
